UserID,Date/Time,topic,SearchTerm,emoticonBased,lexiconBased,Annotation 1,Annotation 2,Annotation 3,finalLabel5Classes,finalLabel3Classes,SN(Original Shona Tweet),ENGoogleTranslate
JoriDenford,2022-09-10 17:42:50,Home_Affairs,mai,UNK,UNK,POS,VPOS,POS,POS,POS,@maz_mai Wedenga pindiraiwo munyika yedu yeZimbabwe,'g of the heavens go also in our zimbabwe country'
ChirereTanatswa,2022-09-16 03:41:08,Sanitation ,Vanhu,UNK,UNK,NEG,VNEG,NEG,NEG,NEG,"@zimstat Trade deficit or unfavorable balance of trade for that other country we trading with, or edu adzika coz mukutorera vanhu zvinhu pa boarder.",'g trade deficit or unfavoravoravoravoravoravoravoravoravoravoral of trade for trade for trading for trading with trading with trazing wolcors cozing on boarder'
DineloMoyo,2022-09-22 10:27:44,Sanitation ,Vanhu,POS,NEG,VNEG,VNEG,NEG,VNEG,NEG,@butchbbn @unperson13 @girlfromZim Ndopamuno kutuka vanhu vision dololo how can someone form a party with no vision and plan zero and chero basa rinotoda vane experience 😂,'g go is to be careful to curse the people vision dollowa hownone form a pan soco firon of party with niv by no pipte and another so candence 😂'
davisonmudzoriw,2022-09-23 07:23:48,Agriculture,mvura,UNK,UNK,NEG,NEU,NEG,NEG,NEG,"@sharlene898 Maslay queen mumusoro makazara pane munhu akaisa hama yake sehumhandara Bata topic 1st kwete kungobuda musaga ,infact iwe unototoucher",'g maslay queen on the head full of water dos and nunone jurginity hold topic sti sirginity to take topic sti no just out of facta you aretoutocher'
5e07db120fd84c6,2022-09-13 21:33:12,Finance,uyu,UNK,UNK,NEU,NEU,VPOS,NEU,NEU,@drjaytee87 @DarkForceGirl01 Ndeupi uyu,'g which is this'
MoyoFidelis2,2022-09-18 16:57:09,Education,Vana,POS,NEG,VPOS,NEU,VPOS,VPOS,POS,"@RealTalkFadzie 🤣🤣 
Anyways chihure chakaipa vana vanokura votambura. Makagona akoma.",'g ayeways a bad children who grow up and suffer. you could be a lot.'
mygee_zw,2022-09-21 12:13:58,Defence,chamisa,UNK,NEG,NEG,NEU,NEG,NEG,NEG,"@EdmundKudzayi It is your duty as a journalist data mukukugorigo or wat ever u call it, nyaya ino nendi yese including the current gvt vanova varivo vari responsible for that not chamisa...

By the way tine vatungamirire neopposition why picking chamisa?",'g it it duty as a journalist writing such issues in griga or wat ever unlocunt to repaint to return to the curract the sountuctions to return to return to the curract the sounting the currents acloging the currans to return to report the currents and watt ever uptunt to report to return to return to return to the curractions to return to return to return to return to return to return to return to return to the curract the secly to return to the curract the seclon to return to the curract the seco were bay we have the mobosition of opposition why picke'
TawandaManokor1,2022-09-20 19:21:52,Education,mwana,POS,POS,NEG,NEG,NEU,NEG,NEG,@Vevick_Mat @Laka_Laka_naka @MoyoTatie98 Muchatadzisa mwana kupinda ku show ya Kae chaps 🤣,'g will prevent a child from taking a shower kae chaps 🤣'
T1sanboss,2022-09-23 13:40:59,Home_Affairs,Baba,UNK,UNK,NEG,NEU,NEG,NEG,NEG,"@MMusaope Kkkkkk, baba musazvimbise vapfanha warikuverenga paVarsity. They'll be demotivated hahahaha","""g dad don't brag on the reading that it is counting on varisity. they'll be demotivated hahahaha"""
CMufakazi,2022-09-20 08:04:34,Education,Vana,UNK,NEG,NEG,NEG,VNEG,NEG,NEG,"@RuvarasheGloria @TKzee_25 Hahaha vachingotevera zvinyaya zvisina basa, vana mai titi vanotsvaga attention  ka vaya",'g ga hahaha just follows the story unnecessary children mmen tip seekers search for those'
MarshalGumbo,2022-09-23 07:55:08,Agriculture,mvura,UNK,UNK,NEG,NEG,VNEG,NEG,NEG,@ZetdcOfficial @ZesaEnterprises @officialzpc @official_MOEPD @InfoMinZW @HeraldZimbabwe @JojMan1 @ZBCNewsonline @cohsunshinecity @NewsDayZimbabwe @StarFMNews @VaMbarara Haaa mukuzvi nyanya takambo teerera 2019 muchiti Kariba haina Mvura haaa useless,'g haaa mukuzvi nyanya takambo teerera muchiti kariba haina mvura haaa useless'
IsraelRue,2022-09-23 17:26:12,Agriculture,huku,UNK,UNK,VNEG,VNEG,NEU,VNEG,NEG,@nickmangwana Huku dzakawanda kupfuura vanhu,'g is more than people'
SMuseyamwa,2022-09-16 22:06:42,Education,Vana,UNK,NEG,NEG,VNEG,VNEG,VNEG,NEG,@girlfromZim @SantosAfter30 @PazuvaK @sirwonder_1 @edmnangagwa Gogo vako newe hamuna kukwana ndiko kusaka vachinyepa..muri vana venzenza mose,gogo vako newe hamuna kiwamana ndiko kusaka vacinyepa..muri vain vendanza mose
harare_1,2022-09-13 14:37:53,Communication,harare,UNK,UNK,NEU,POS,POS,POS,POS,"Sangano guru renyika reEcoCash raparura chikwama chevana pakati pemakore kusvika kusvika varipakati ekutenga ekuberekwa. @EcoCashZW @econetzimbabwe @econet_support

https://t.co/cXL2CWm2yP",'econhast the countrest mobile money platform has launched a mobile waller bestemled and years of age. g'
Chief2049,2022-09-26 11:54:00,Agriculture,mvura,UNK,UNK,NEU,NEU,VNEG,NEU,NEU,@killerzivhu1 Hakuna ma roadsne mvura chete ikoko,'g is no roadsne only there'
i_Foresee_Doom,2022-09-20 14:44:06,Education,Vana,UNK,UNK,NEU,NEU,POS,NEU,NEU,@brian___jethro Hey though app.....ko vana nhai veduwe,'g hey although app do children are of us'
chitowamombe14,2022-09-20 18:19:15,Agriculture,imbwa,POS,POS,VPOS,VPOS,NEU,VPOS,POS,@PMalaga2022 @_tpyd @antomukuwa 😂😂😂😂pamatofo hatirove imbwa takaviga mupini. Tinototanga tairatidza mupini wacho tozoizvambura.,'g panoo no dogs we are burying the feather. first we aim the pin and stumble.
ollyolmert,2022-09-16 09:37:19,Communication,harare,UNK,UNK,NEG,NEU,NEG,NEG,NEG,@RealTalkFadzie Mota firiji $35 iripo muHarare odha yako contact +263773076143 https://t.co/a6UGVHerkb,'g auto refrigerator alatin in harare order yours contact +'
TachiWheng,2022-09-21 12:27:23,Sanitation ,Vanhu,UNK,UNK,NEG,NEG,NEU,NEG,NEG,"@daddyhope @JaYMuchy1 @nelsonchamisa Respect our president chete bro ,zvekubva maita kunga ndimi mega mune ma best advices hazvipere mushe nd musanetsane nema youths kana mave vanhu vakuru we don't expect that from you Hope.","""g grab our president solo sous sous to do it in the best advice unclone in youths of women's expect thanks hope"""
Sir_Tsindie,2022-09-26 17:12:58,Music,Shadaya,UNK,UNK,NEG,VNEG,NEG,NEG,NEG,"Murume mukuru achinamata shadaya, smh https://t.co/g8V96yMpdp",'a grown assan out you mission shadia smh'
ayiie_juicy,2022-09-19 07:03:28,Sanitation ,Vanhu,POS,NEG,VNEG,NEU,VNEG,VNEG,NEG,"Mjolo hauonese chiso chake nderekuti tinomanikidza vanhu kuti vanyaradze kuita zvinhu izvi nokutaura wevamwe vanhu vanotoda zvekudaro vasina kana kumbopihwa pressure or kukumbira😂😂

Hatisi kurwa","""mjolo never won't wore the problem that is for forcem peopled to don't want to do it to do that people they have to do so without being given a prestile or requesting a fight"""
wixxynashy,2022-09-17 15:23:55,Sanitation ,Vanhu,UNK,UNK,NEU,NEU,POS,NEU,NEU,@_maka_naka @MrChelton_ Ha ndopa vanhu change iwe,'g hah he gave people the people'
mr_zim_fit,2022-09-11 19:38:02,Finance,uyu,UNK,UNK,NEU,NEG,NEU,NEU,NEU,@ysl_mint Mwana ma 1 uyu @magic_wacho ita plan or ndiitiro plan (zviri pa 2 ),'g baby is the make plan or modal plan is on'
williamwaingeni,2022-09-17 21:38:47,Sanitation ,Vanhu,UNK,UNK,NEG,NEU,NEG,NEG,NEG,@chiura_jubilee @Blond_zw @Nollieta Aaaah Jesus Christ vanhu venyu vatanga https://t.co/BfodRPDs4S,'g v aahah jrist christ your people start'
HarareNdini,2022-09-14 08:13:27,Finance,mombe,UNK,UNK,NEU,VNEG,VNEG,VNEG,NEG,@Mshollah @antomukuwa As long isiri mombe zvikwereti zvemari kungotaurawo pachikuru kuti tabvuma yaunayo .,'g as long nonbal loins just talking to a large group to accept your.'
chitowamombe14,2022-09-22 19:47:47,Music,Shadaya,UNK,UNK,NEG,NEU,NEG,NEG,NEG,"@__vigie @magumbo_wacho Asi vakuru vakareva vakati shoko harivhikwe.

Isu ticha kana ivo vanhu chaivo vanopombwa naShadaya vakasagumbuka uye nekupopota.","""g but the elders said the word is not hidden. of wool geting if the very people that shadaa castigates distigates distigates distagates' take of flurt's out."""
Eng_BrianM,2022-09-13 15:39:13,Sanitation ,Vanhu,UNK,UNK,NEU,POS,NEU,NEU,NEU,@richsibling Maybe vanhu vajaira kuchemedzwa nemarelatonship zvekuti ka crying substance kemu onion kakuitwa kadiki.,'g maybe people used to be cleaned by lalatonships so that you crying substance county'
Manhambara1,2022-09-22 18:28:06,Defence,chamisa,UNK,UNK,POS,POS,NEU,POS,POS,"@RegistrarMoyo @ProfJNMoyo @WilliamsRuto @UN Yes we can have running stomach nekuti muri mhondi,dont do it next year chiita manje,ban CCC,ban Chamisa,makamhanya naMwonzora makabudisei,dont waste people time,just declare 1 party state,zva jonathan , akamira ega newe toi unomhanya futi",'g can maving stanching omch banching out of meopdent dectaban ceccajusta deccajusta deccajust dearban out juniojustrain cccanke partabander party statty statty statty party floor'
vaSimbarashe,2022-09-19 03:41:45,Finance,huya,UNK,UNK,VPOS,VPOS,NEU,VPOS,POS,"@BrendanMaparara @DzereSimbarashe It's part of nature. Handikwanisi kuchengeta zvose
Huya nemari apa utore vamwe","""g it's a part of nature. i poan keping theme all the money in the money to take others"""
rachleeahm,2022-09-15 07:39:46,Education,Vana,POS,POS,POS,POS,VPOS,POS,POS,@aroejb1_ @muronda_tsimba @Nollieta 😂😭😂😂😂Imi musanyepere Zim ini hangu Handina asi vana vane zvinhu zvavo😂😂😂,"""g 😂😭😂😂😂 i don't pray zum me but the kids have their own stuff"""
millyka7,2022-09-16 05:56:31,Home_Affairs,Baba,UNK,UNK,POS,VPOS,POS,POS,POS,@eilardkajume Nyararai zvenyu vana vangu kana baba vepanext door vadyiwa mari yese kubhawa varidyawo zvisina mafuta,"""g peace my children when daddy's father door eaten all money to the board also eats fat"""
TD_Gurira,2022-09-14 17:43:08,Sanitation ,Vanhu,POS,POS,NEG,VNEG,NEG,NEG,NEG,@ghosterry_71 Vanhu vasina kuenda ku boarding munooneka 😂,"""g people who didn't go to boarding see seen 😂"""
LeighLe17972214,2022-09-20 12:13:12,Sanitation ,Vanhu,UNK,UNK,NEU,POS,NEU,NEU,NEU,Ko vanhu vanozoti “This question is not about ………” Toitei navo?,"'what about the people who will say ""this quest is an hour .........'"
CGandanzara,2022-09-22 11:43:50,Agriculture,kudya,UNK,UNK,NEG,NEG,VNEG,NEG,NEG,@JChamutinya @NickyRuva @reuphanuel Makazviwanepi kuti vadya nzungu vanotuma vasina kudya kuti varase makoko……,'g make him eat nuts that he doesn't eat to not eat him......'
fmthunzi_1738,2022-09-26 09:24:08,Defence,chamisa,UNK,UNK,NEG,NEU,NEG,NEG,NEG,"@NgarivhumeJacob Sir vachitaura nema musoro asi itai basa:
-ronga mutengo naChamisa umukumbire naye semugari wemunyika uye President webato rako umutsigire 2023.
-ane unhu hwakakura zivisa izvi saka pano pane wakaedza",'g sir what you say resvas very grt sense bort.-he hist to a carty back for yoim for.-he harger for yoim for.-he hist of yoro party pnowing you trighted'
Panashe_3D,2022-09-19 12:58:46,Sanitation ,Vanhu,POS,POS,NEU,VNEG,NEU,NEU,NEU,@AdvoBarryRoux 😂😂😂😂😂😂😂 Vanhu vari creative,'g people are create'
framashies,2022-09-20 12:37:34,Sanitation ,Vanhu,UNK,UNK,NEU,POS,NEU,NEU,NEU,@ground_forcez Pakutoda toendesa vanhu kumaLessons kwaShadaya.,'g in prayer and move people to lestons.'
MartinZ64421535,2022-09-16 08:59:47,Education,Vana,UNK,UNK,NEG,NEU,NEG,NEG,NEG,"@rayvinesmelusi Vaudze mupfana wangu, kwete vana Mugwadi",'g tell them in my identity and not children in the dog'
bcmoyo,2022-09-20 06:05:36,Sanitation ,Vanhu,UNK,UNK,NEU,POS,NEU,NEU,NEU,@MakomboreroH Kubvisa zanu pf kuchanetsa haaaaa vanhu mune drama focus chaiyo zero,'g removing zanu pf challenges haiaa people in drama focus real zero'
magic_wacho,2022-09-12 07:32:35,Finance,huya,POS,POS,NEG,NEG,NEU,NEG,NEG,"@travis_trance Huya bruh 😂🤝🤝*For pics and prices 👇 kindly click this* 
https://t.co/W7m7RwWWaW",'g come brukeh 😂🤝🤝for pics and quotes 👇 kindly click this'
Krossziboss,2022-09-21 06:19:43,Music,jah prayzah,UNK,UNK,VPOS,VPOS,NEU,VPOS,POS,@tawamak84 @PoliceZimbabwe Hauziye kuita mukurumbira pano paunoshuma. Kana Jah Prayzah akapara mhosva,"""g isn't it really called prominence? if jah prayzah commits a crime, it would be loy de williah, what was look a goat"""
FaffieManhuhwa,2022-09-22 05:57:15,Education,mwana,POS,NEG,POS,VPOS,POS,POS,POS,@reallhusband wotongotambira mukwasha kana auya mwana haarambwe🤣,'g at warning when he comes to a baby'
pluginczw,2022-09-14 12:03:04,Communication,harare,UNK,UNK,NEU,POS,POS,POS,POS,"Kutya Mwari Zvinokosha Hoody (Silicon Print, gobvu zvinhu) - Dema

💲US85

Saizi - Swipe kusvika pekupedzisira pic✔️

#Zvakakosha
#Theplug
#Zimbabwe @ Harare, Zimbabwe https://t.co/GYEmfzpJNF",'fear of god essentials hoody silicic print textile - black💲sizes - swipe to last picéestuals harare zimbabwe'
tmanguwe,2022-09-13 22:05:33,Education,Vana,UNK,UNK,NEU,NEU,NEG,NEU,NEU,@takudzwa_des @LeoTeeMG @MutonhodzaPhil @timiretimzzy2 Vachikonzeresa mapepi mukati mevanhu vaive muSoddom neGomora maive mune vaimbova vaengeli vevanhu...bhaibheri kubhaibheri kubhaibheri kubhaibheri bhino bhiza vevanhusvaira ..,'g of the renson era inside leaves sindom and golded reman of god. and deel's bible. then they sat down and when the children were born...'
MrNyashaHove1,2022-09-22 06:05:33,Education,Vana,UNK,UNK,VNEG,VNEG,NEU,VNEG,NEG,@TafadzwaMugwadi @edmnangagwa @antonioguterres Zvamunozoti vana vaSatan ! Imika,'g of your offspring the mutant and'
shairwadzi,2022-09-21 12:49:22,Sanitation ,Vanhu,UNK,UNK,NEG,NEG,NEU,NEG,NEG,@blak_immigrant @fortunechasi @waltermzembi @HHichilema musakwidza vanhu ndege dzemashanga pliz someone facilitated mahure asina kupfeka to walk in our streets sometime back.,'ggggggggg levels of swamp plus slices flizz facilitated with keed prostivitites to walk our streets at the same time back.'
IAmPGZW,2022-09-16 16:26:04,Sanitation ,Vanhu,UNK,POS,POS,POS,NEU,POS,POS,@BVChironga @yofavagronomist Zvinotanga nekusavabata senge musafanana.,'g t starts with you not treati like people think.'
Nashromerol,2022-09-21 07:11:53,Music,Shadaya,UNK,UNK,POS,NEU,NEU,NEU,NEU,@philipk_pf @momzYaTah @ShadayaKnight Asi vanoda kusheyana apa mari yaanayo shadaya dzidzai kana kuparara,'g but they want to shed money with anoo sharoa learn or perish'
framashies,2022-09-14 17:37:43,Sanitation ,Vanhu,UNK,UNK,NEG,VNEG,NEG,NEG,NEG,@Eddiek913 Pakaipa kungofunga vanhu vakadaro musoro wotovava,"'g while still on thinking of such people, it is'"
tafarachidhakwa,2022-09-18 07:12:15,Sanitation,kusvika,UNK,UNK,NEG,NEG,VNEG,NEG,NEG,@econet_support @Jonah55236468 Veduwe @econet_support  ndatenga etym haina kusvika,'g of gwee i bought etym never arrived'
TawandaManokor1,2022-09-19 16:56:54,Sanitation ,Vanhu,UNK,NEG,NEG,VNEG,VNEG,VNEG,NEG,@MakomboreroH @Unclepetso1 @nelsonchamisa But still haurambidzi kutaura zvakanaka. Mumwe ane kubata kwake pa Twitter.,'g but still don't judge people for expressing themselves. everyone has their own sandle on twitter.
panashechiband4,2022-09-15 17:42:00,Sanitation ,Vanhu,POS,POS,POS,NEU,POS,POS,POS,@EmTeeEn_ 😂😂😂😂 vanojairira vanhu ivava,'g they are tangoes of these people'
TapiwaTaruving4,2022-09-19 12:15:39,Education,Vana,UNK,NEG,NEG,NEU,NEG,NEG,NEG,"3 Zvinosuwisa.

Dzimwe nguva ndinoona vana ava ana Lee Ann ndoshamisika kuti anonzwisisa Zpf yavari kutamba nayo kuti ine hchivimbo, kwazvo https://t.co/Mp2jQkY5dB","""this is a true piciture of zanu-pf 's way of thinking a picuter of theiir heart the rat and ruthless evils. so sad.sometime i see these children ann and wonder really kpf is playing with it is it very cruel vary evil"""
BabaVaTee,2022-09-17 18:17:33,Home_Affairs,Baba,UNK,POS,VNEG,VNEG,NEU,VNEG,NEG,@baba_nyenyedzi @matirapre @DrLight06 Izvo hazvizopfuura nekuita diligence rinova basa remberi vane mvumo!!!!,'g is wot paligrance wue diligence wire is the rsponsibility of the authorized dealers'
man4rmglennorah,2022-09-20 06:10:10,Agriculture,sadza,UNK,UNK,NEU,POS,NEU,NEU,NEU,@WaltJackman Sadza and maheu,'g iron and pens'
NokuwaJesu7,2022-09-13 17:04:51,Sanitation ,Vanhu,UNK,NEG,POS,POS,NEU,POS,POS,@alli_yrn @t_kachidza Kuhwanda musoro edu faking kuti all things are well ndizvo zvatikwanisa kubatsirwa. Munhu ngaacheme pane vanhu abatsirwe,'g ride with our hardships fake about all things things are well is what hat hat usay from hello. let a person weep over people helping'
potonjere83,2022-09-21 06:41:12,Sanitation ,Vanhu,UNK,NEG,VNEG,VNEG,NEU,VNEG,NEG,@Mkandatsama1 @nelsonchamisa @MadzivaNehemiah Ska unofunga kuti kudira jecha was worse that kutemwa nekupiswa kwakaitwa vanhu in 2008?. At times kunyarara hakuna kushata kna usina zvekutaura,'g ski thinks to pour the sand ofs savose that cut with the burning of people in. at times to silence no bad kna without saying'
039City_Life,2022-09-19 08:23:42,Education,Vana,UNK,UNK,NEG,NEG,NEU,NEG,NEG,@juliastinashe @GovenorNyirenda @fallrise__ Vana vaiki siyanai navo havana chavanoziva varegererei. Kwaitombova nana Brown sugar. Kana Sniper chaiye achiri kufamba muIndustry munhu akuti pioneer kumunhu akatanga mugore rezhara nekorera,"""g children who were driving ignores nothing. it would even be withna brown argar. if sniper is still traveling in industry a person that pioneer to start in zora's year and copie"""
tmubvuma,2022-09-23 09:23:49,Home_Affairs,Baba,UNK,UNK,VNEG,NEU,NEU,NEU,NEU,"@Tapiwatan @baba_nyenyedzi Kwosese kusimbisa nemhiri, ripo paripo kukwereta nemitengo mutengo chaiwo uye kuita purofiti nepo vanoisa mari, monyanya vanoisa nguva vachipihwa mibairo yavakachengeta. Ndiwo ndokwanisa hupfumi, Nhume pachedu.","""that's how's how economies including our ow shoud work."""
LEEMAN_UTD,2022-09-20 06:16:35,Music,Shadaya,UNK,UNK,NEU,NEU,NEG,NEU,NEU,@GreatTe62759595 @bbmhlanga @ShadayaKnight Urikusiyanisa sei msg imwe chete kubva kushadaya nengirozi,'g gwo receives the same message from shadaa as from angel'
Mercy_T_Sigauke,2022-09-26 18:32:53,Agriculture,chikafu,UNK,UNK,NEG,NEG,NEU,NEG,NEG,"@Sqwanchy2 @ralphalpha1909 Mmmmm ko chako chadyiwa chikafu, chikafu ichocho waitochitsvaga kupedza zuva repfu mmmmmm","""g what your food is eaten that's meal you would been loon loerous for a diey a long day mmmmmmm"""
WarsBringsPeace,2022-09-23 04:19:05,Home_Affairs,Baba,UNK,POS,VNEG,NEG,VNEG,VNEG,NEG,@Tinoedzazvimwe1 Zvinotaurwa na Baba ED hazvina musoro saka kuzopfeka Earpiece for translation. Wabva watorara .ED is a joke,"""g say father ed isn't logical then to wear the arpiece for translation. you have gone down .ed is a joke"""
Mukwasha_Nyama,2022-09-26 18:03:03,Agriculture,nyama,UNK,UNK,NEG,NEU,NEG,NEG,NEG,"@TinieSpecialKid Ahh kho maitwei?
Vamwe varume vakutongoda kupota vachirohwa",'g ahh kho then the men came to have totally hit'
TendayiZinyama,2022-09-24 15:17:38,Defence,chamisa,UNK,UNK,NEG,NEU,NEG,NEG,NEG,ccc cashvist muNewyork vane zvikumbiro zvinokatyamadza zvemari kuAfrican Union. Ndiani achabvisa chamisa mapenzi aya ?,"'ccc cashvist in new york has a scandalous license, including the dissolution of the african union. who would be supporters?"
MugwijiTawanda,2022-09-14 04:33:33,Communication,harare,UNK,UNK,NEU,NEU,POS,NEU,NEU,@WaltJackman hahaha harare inopedza masports,'g hahaha harare spending the masss'
RoomsZW,2022-09-14 07:30:12,Communication,harare,UNK,UNK,NEG,VNEG,NEG,NEG,NEG,"One imba yekuraraflat iripo inorojeswa muAvenues, Harare.
Yakapamhama uye yakatsvinda kwazvo
Rent inosanganisirwa.
I pabasa ipapo.
Dzvanya pane iyi link iripazasi kuti unofanira kuwana rumwe ruzivo

https://t.co/fuEGPdNOED",'one bedroom flat available for rent in resurrent.sspicious and verrent is an inclyt.cupona.cupon on the link below for more information'
MungureRufaro,2022-09-22 05:29:34,Sanitation ,Vanhu,UNK,UNK,NEU,VPOS,NEU,NEU,NEU,"Vanhu vanoisa Instagram vanobata avo paTL vachiti ""please follow me on Instagram"", <<<<<<",'people put in instagram handles their patrol said praice follar me on instal & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt'
KaelaMiky,2022-09-22 18:58:39,Home_Affairs,Baba,POS,NEG,NEU,VNEG,VNEG,VNEG,NEG,@Eddiek913 Baba vabikira pombi yavo nonsense 🤣🤣🤣,'g dad is cooking their pump nonsense 🤣🤣🤣'
MissFidibo,2022-09-16 13:59:53,Sanitation ,Vanhu,UNK,UNK,NEG,NEU,NEG,NEG,NEG,@Sh3ltz Vanhu pano vanotogwara,'g people here they are already right'
cmutsauri,2022-09-14 10:37:14,Communication,chitungwiza,UNK,POS,VPOS,POS,POS,POS,POS,"Chitungwiza Industrial: Commercial Property iri matenga($200 000)

Iri kuimba yekutamba yekutamba-simba iyi 4000m² Imba ichiita. Ichi chivakwa chine zvivakwa zvakagara pa4000m² nyika. Nzvimbo iyi nzira ingangoita 400 kubva kubva…https://t.co/WGJpcx9FeK",'mindwappa commercial industrial property for sale this m² commercial property is located in a recognized and renovated area. this property has buildings that are on the m² of land. the property sits just above m fro...'
ManicaPostZim,2022-09-12 16:19:40,Home_Affairs,mai,UNK,UNK,NEU,POS,NEU,NEU,NEU,"Mutambi ane mvumo, Rhoda Mthembe, uyo akaita kudzoka achitamba Mugovera waMai Sorobhi izvo zvinoti wepaTV wainyanyoridza nemukurumbira we”Paraffin” kuma90s, ashaya.

Aiva kusvikira 79.

Mutambi ane mwari akange abatwa nerugare panyika.

Zvinotevera . . . https://t.co/BYLi6byzOG",'the veteran actress had sufered a stroke severael years ago.more to follow. . .'
ThomasJ74511906,2022-09-15 07:16:07,Education,Vana,UNK,UNK,NEG,NEU,NEG,NEG,NEG,"@HeraldZimbabwe Zvine basa reiko hazvichinje rate pamusika mutema,ko zvamaimboti varungu vana vaSatan nhasi zvachinja here",'g doors do not change the rite on the market of whirns of white people in sanan today have changed'
zimleague,2022-09-14 09:44:42,Education,Vana,UNK,UNK,NEG,VNEG,NEG,NEG,NEG,Ichi chapedza ma sports !!!! 🫵🫵🔥🔥🔥 Ndiye murume wacho ipapo !! Ndiyo thread vana msoro bhangu https://t.co/aP28aDnuUV,"""this has completed sports \u0001faf5\u0001faf5🔥🔥🔥 that's the man right"""
mhungu,2022-09-20 18:04:25,Defence,chamisa,UNK,UNK,VPOS,POS,POS,POS,POS,"Crew raana Chamisa ndooriya rekuti kana ndakura ndoda kuita president
zvuru zvamazana zvamazana zvavekuda kunofanira kuva nechokwadi chezvenhau",'crew raana chashed and her counii i big to back to back to be bestional quantity witt too mach'
IniniNdini,2022-09-10 17:26:14,Home_Affairs,mai,UNK,POS,VPOS,NEU,VPOS,VPOS,POS,@nomsa_violet wakanaka mai 2,'g you are so like beautu'
Stewart30454521,2022-09-25 13:18:06,Music,Shadaya,UNK,UNK,POS,NEU,NEU,NEU,NEU,@brian___jethro Apinza mafeelings Shadaya apo,'g chooses the feelings of when'
Chipopo78291657,2022-09-16 08:23:32,Sanitation ,Vanhu,UNK,UNK,NEU,NEU,VPOS,NEU,NEU,@mdc263 @Tinei2010 @DMwonzora Vanhu vese avo Havana kupusa they will never vote Dougie they will vote Nero coz he is e one who can competition with ED,'g gali all those who have not been fooling the yill with an ox with an ogi dougie yellow dougie the yellow dow'
